cte,cte_pid,pos_x,pos_y
0.0273,0.0273,82.436,1.7554
0.0428,0.0428,81.9592,1.7554
0.0435,0.0435,81.6408,1.7554
0.042,0.042,81.1622,1.7554
0.0367,0.0367,80.8428,1.7554
0.0169,0.0169,80.3625,1.7554
0.0101,0.0101,80.0416,1.7554
-0.0263,-0.0263,79.5589,1.7553
-0.0493,-0.0493,79.236,1.7553
-0.0816,-0.0816,78.7503,1.7553
-0.1118,-0.1118,78.4252,1.7553
-0.1514,-0.1514,77.936,1.7553
-0.1739,-0.1739,77.6087,1.7553
-0.2169,-0.2169,77.1162,1.7553
-0.2388,-0.2388,76.787,1.7553
-0.2725,-0.2725,76.2926,1.7553
-0.294,-0.294,75.9626,1.7553
-0.3138,-0.3138,75.4676,1.7554
-0.3346,-0.3346,75.1378,1.7554
-0.3525,-0.3525,74.6444,1.7554
-0.3589,-0.3589,74.316,1.7554
-0.3768,-0.3768,73.8247,1.7554
-0.3689,-0.3689,73.4986,1.7554
-0.3898,-0.3898,73.0113,1.7554
-0.3949,-0.3949,72.6878,1.7554
-0.3968,-0.3968,72.2039,1.7554
-0.4072,-0.4072,71.8832,1.7554
-0.4098,-0.4098,71.4058,1.7554
-0.4166,-0.4166,71.0893,1.7554
-0.4286,-0.4286,70.6178,1.7555
-0.427,-0.427,70.3065,1.7555
-0.4518,-0.4518,69.8441,1.7555
-0.4591,-0.4591,69.5389,1.7555
-0.4894,-0.4894,69.0855,1.7555
-0.5147,-0.5147,68.7879,1.7555
-0.5468,-0.5468,68.3492,1.7555
-0.5917,-0.5917,68.0627,1.7555
-0.6401,-0.6401,67.6432,1.7555
-0.6744,-0.6744,67.3715,1.7556
-0.7328,-0.7328,66.9787,1.7556
-0.7414,-0.7414,66.7273,1.7556
-0.7953,-0.7953,66.3656,1.7556
-0.8143,-0.8143,66.1372,1.7557
-0.8204,-0.8204,65.8107,1.7557
-0.8321,-0.8321,65.6055,1.7557
-0.8265,-0.8265,65.3165,1.7557
-0.8036,-0.8036,65.1356,1.7557
-0.7825,-0.7825,64.8827,1.7558
-0.7563,-0.7563,64.7249,1.7558
-0.7001,-0.7001,64.5012,1.7558
-0.6676,-0.6676,64.361,1.7558
-0.6064,-0.6064,64.1633,1.7558
-0.5533,-0.5533,64.0368,1.7558
-0.4866,-0.4866,63.8549,1.7558
-0.438,-0.438,63.7375,1.7558
-0.3598,-0.3598,63.5637,1.7558
-0.308,-0.308,63.4473,1.7557
-0.2328,-0.2328,63.2739,1.7557
-0.1826,-0.1826,63.1571,1.7557
-0.1073,-0.1073,62.9802,1.7557
-0.0608,-0.0608,62.8593,1.7556
0.0068,0.0068,62.6741,1.7556
0.0481,0.0481,62.546,1.7556
0.1055,0.1055,62.3478,1.7556
0.1386,0.1386,62.2101,1.7556
0.1817,0.1817,61.9963,1.7555
0.2069,0.2069,61.8475,1.7555
0.2363,0.2363,61.6162,1.7555
0.2491,0.2491,61.4561,1.7555
0.2694,0.2694,61.2076,1.7555
0.2763,0.2763,61.0361,1.7555
0.281,0.281,60.7709,1.7555
0.2858,0.2858,60.5887,1.7555
0.2842,0.2842,60.3078,1.7555
0.2802,0.2802,60.1156,1.7555
0.2823,0.2823,59.8197,1.7555
0.2784,0.2784,59.618,1.7555
0.2778,0.2778,59.3094,1.7555
0.2819,0.2819,59.0989,1.7555
0.2805,0.2805,58.7765,1.7555
0.2917,0.2917,58.5574,1.7555
0.3081,0.3081,58.222,1.7554
0.3111,0.3111,57.9939,1.7554
0.3514,0.3514,57.6443,1.7554
0.3705,0.3705,57.4063,1.7554
0.4106,0.4106,57.043,1.7554
0.447,0.447,56.795,1.7554
0.4868,0.4868,56.4155,1.7555
0.5266,0.5266,56.1573,1.7555
0.5742,0.5742,55.7628,1.7555
0.5934,0.5934,55.4946,1.7555
0.6295,0.6295,55.0842,1.7556
0.639,0.639,54.8065,1.7556
