cte,cte_pid,pos_x,pos_y
-0.2453,-1.2599,81.2993,1.756
-0.232,-1.2149,80.9198,1.756
-0.2284,-1.0468,80.6675,1.756
-0.2214,-0.8066,80.2875,1.756
-0.2017,-0.6164,80.0385,1.7559
-0.189,-0.6559,79.6648,1.7559
-0.1838,-0.5524,79.4125,1.7559
-0.1835,-0.4756,79.0279,1.7559
-0.1925,-0.6678,78.7727,1.7559
-0.2037,-0.6157,78.3884,1.7559
-0.2085,-0.5714,78.1296,1.7559
-0.2013,-0.6535,77.7526,1.7559
-0.1956,-0.5412,77.506,1.7559
-0.1788,-0.3718,77.135,1.7559
-0.1506,-0.2136,76.8941,1.7559
-0.1297,-0.2557,76.5347,1.7559
-0.1229,-0.1929,76.2879,1.7559
-0.1273,-0.1927,75.9106,1.7559
-0.1271,-0.1793,75.6612,1.7559
-0.1417,-0.4112,75.2858,1.7559
-0.149,-0.4039,75.0325,1.7559
-0.1509,-0.3738,74.6489,1.7558
-0.1563,-0.5536,74.3978,1.7558
-0.1517,-0.4214,74.0305,1.7558
-0.1441,-0.3297,73.7853,1.7558
-0.1141,-0.3578,73.4303,1.7558
-0.0999,-0.2347,73.1984,1.7558
-0.089,-0.1402,72.841,1.7559
-0.07,-0.0621,72.6037,1.7558
-0.0756,-0.2772,72.2426,1.7558
-0.0881,-0.3054,71.9965,1.7558
-0.1168,-0.4048,71.6203,1.7558
-0.1343,-0.7261,71.3712,1.7558
-0.1614,-0.7128,71.0083,1.7558
-0.1656,-0.586,70.6621,1.7558
-0.1521,-0.449,70.4427,1.7559
-0.1357,-0.5084,70.128,1.7559
-0.1225,-0.3763,69.9205,1.7559
-0.1079,-0.2668,69.5982,1.7559
-0.1114,-0.5211,69.3866,1.7559
-0.1228,-0.4828,69.0639,1.7559
-0.1375,-0.4991,68.8433,1.7559
-0.1555,-0.8382,68.522,1.7558
-0.1704,-0.7961,68.3145,1.7559
-0.1755,-0.6734,68.0139,1.7559
-0.1634,-0.526,67.8258,1.7559
-0.1578,-0.7323,67.5585,1.756
-0.1508,-0.5986,67.3818,1.756
-0.1495,-0.4809,67.1062,1.7559
-0.164,-0.9199,66.9272,1.7559
-0.1867,-0.8543,66.6582,1.7559
-0.1995,-0.8309,66.4749,1.7559
-0.247,-1.3688,66.2129,1.7559
-0.2664,-1.273,66.05,1.7559
-0.2853,-1.7858,65.8237,1.756
-0.3061,-1.6292,65.6865,1.756
-0.3159,-1.3613,65.5012,1.756
-0.3199,-1.9973,65.3921,1.7561
-0.3371,-1.6703,65.2504,1.7561
-0.3209,-1.5032,65.1597,1.7561
-0.3761,-2.2739,65.0406,1.7561
-0.4066,-2.1216,64.9677,1.7561
-0.4414,-1.8887,64.8686,1.7561
-0.491,-2.7345,64.8166,1.7561
-0.5438,-2.4195,64.7603,1.7561
-0.5629,-2.2446,64.7339,1.7561
-0.6314,-2.8548,64.7125,1.7562
-0.6647,-2.6758,64.7103,1.7562
-0.6957,-2.3294,64.7239,1.7562
-0.7332,-2.7924,64.744,1.7562
-0.7733,-2.5912,64.7903,1.7562
-0.7757,-2.4103,64.8293,1.7562
-0.8202,-2.5942,64.9006,1.7562
-0.8403,-2.4165,64.9574,1.7562
-0.8538,-2.1865,65.0587,1.7563
-0.8493,-1.9855,65.1353,1.7563
-0.8565,-2.0623,65.2628,1.7563
-0.8514,-1.8668,65.3567,1.7563
-0.8293,-1.5915,65.5107,1.7563
-0.8067,-1.698,65.6204,1.7563
-0.7761,-1.3627,65.7945,1.7563
