cte,cte_pid,pos_x,pos_y
-0.0228061,-0.01883701,125.1885,0.5948662
-0.02166797,-0.01276989,125.2032,0.5948954
-0.02644181,-0.001751623,125.2134,0.5949168
-0.02377985,0.003257267,125.2289,0.5951586
-0.02191302,0.003732718,125.2395,0.5955756
-0.01902445,0.002467598,125.2556,0.5957953
-0.02657598,0.03748255,125.2663,0.5959771
-0.02195655,0.05995614,125.2826,0.5959728
-0.01858827,0.05818421,125.2938,0.5959336
-0.01327766,0.029068,125.3111,0.5958617
-0.0226247,0.05544816,125.3223,0.595777
-0.01569822,0.05371197,125.3386,0.5956172
-0.01146748,0.04806403,125.3491,0.5956349
-0.02312986,0.07735633,125.3645,0.5957852
-0.01734485,0.07285701,125.3741,0.5957829
-0.00964252,0.07083382,125.3875,0.5956698
-0.004969297,0.06231415,125.3961,0.5955328
-0.01800718,0.107758,125.4082,0.5955263
-0.01132924,0.1125667,125.4155,0.5954644
-0.001891101,0.09759312,125.4259,0.5952128
0.003836921,0.08478133,125.4322,0.5951411
-0.008188,0.1319917,125.4409,0.5952032
-0.0001131169,0.1326075,125.4455,0.5953193
0.01144795,0.07121491,125.4517,0.5953978
-0.008427748,0.1772113,125.4541,0.5956109
0.006771673,0.1305107,125.4566,0.5958084
0.01501944,0.1311347,125.4564,0.5961236
-0.002946934,0.1960263,125.4548,0.5959458
0.008662612,0.1735647,125.4521,0.595765
0.023498,0.1534984,125.4454,0.5959287
-0.003119736,0.2427092,125.4398,0.595845
0.01630217,0.2179317,125.4277,0.5957512
0.0281188,0.143783,125.4183,0.5954659
0.004056524,0.2386138,125.4005,0.595084
0.01837073,0.2109222,125.3861,0.5947903
0.03680649,0.1487648,125.3611,0.5946154
0.002886352,0.2920378,125.3422,0.5948842
0.02689884,0.2133105,125.3103,0.5952405
0.03996243,0.1929244,125.2862,0.5957906
0.03656858,0.3006908,125.2465,0.5955272
0.04908023,0.259316,125.2175,0.5959567
0.06400914,0.1814649,125.1696,0.5960681
0.07163219,0.2007226,125.135,0.5957475
0.07831108,0.1435813,125.0784,0.5956594
0.0805934,0.08214138,125.038,0.5952287
0.07626067,0.03756499,124.9738,0.595154
0.07520637,0.009526568,124.9288,0.5948578
0.07175998,-0.009696707,124.8593,0.5949511
0.06043603,0.01770595,124.8121,0.5953679
0.05841821,-0.0115503,124.741,0.5958697
0.05688943,-0.01183505,124.6932,0.5960591
0.043582,0.02753685,124.622,0.5965828
